"Date","GR_GDP","GR_GDP_gr"
1970-04-01,41.8613187946161,3.89881639941274
1970-07-01,42.6432196992798,1.85060644921746
1970-10-01,43.0046664624886,0.844034628702461
1971-01-01,42.1785027300164,-1.93979549229617
1971-04-01,43.0636780088056,2.07692269260784
1971-07-01,43.8086956550035,1.71524244218881
1971-10-01,43.7718165646086,-0.0842175768101416
1972-01-01,43.8160710562755,0.101051633130567
1972-04-01,44.5315870973858,1.61980906034809
1972-07-01,45.5716687272745,2.3087463812562
1972-10-01,46.2798051990421,1.54194695411523
1973-01-01,46.9197270241773,1.37325127350216
1973-04-01,47.2664063125591,0.736161134851487
1973-07-01,47.4213043275171,0.327176889347136
1973-10-01,47.5393211680447,0.248559654430647
1974-01-01,47.9413566046562,0.842134391971561
1974-04-01,47.904471262155,-0.0769680749659774
1974-07-01,47.9044733461904,4.35039844148832e-06
1974-10-01,47.2995799880172,-1.27074736171235
1975-01-01,47.0266588804254,-0.578676458356453
1975-04-01,46.7906064430515,-0.503218538053263
1975-07-01,47.2995987443358,1.0819346507045
1975-10-01,48.2290618593582,1.94599702441094
1976-01-01,48.6624015916762,0.894490817296267
1976-04-01,49.3852888659876,1.47458929361588
1976-07-01,49.4000396685314,0.0298643591558623
1976-10-01,50.314720720479,1.83464655481247
1977-01-01,50.7443800462849,0.850318103736525
1977-04-01,51.03207488081,0.565348048332348
1977-07-01,51.0173240782662,-0.0289091416451281
1977-10-01,51.8951468801728,1.70600138944268
1978-01-01,52.1090147607398,0.411268508187757
1978-04-01,52.3155655930259,0.39559862430858
1978-07-01,53.0016008694026,1.30281701070105
1978-10-01,53.6212450301196,1.16232338690958
1979-01-01,53.6875507003279,0.123579205591406
1979-04-01,55.3546852367719,3.05801589257033
1979-07-01,55.3546894048427,7.529752199531e-06
1979-10-01,55.6940099642358,0.611122178596624
1980-01-01,56.1402498756646,0.798042174869806
1980-04-01,55.7788177007035,-0.645883564369587
1980-07-01,55.5575306541213,-0.397511399002237
1980-10-01,55.4837724733314,-0.13284820973869
1981-01-01,56.1439552906014,1.18284323753217
1981-04-01,56.003801826081,-0.249944432395122
1981-07-01,56.1513348599441,0.263087582643706
1981-10-01,56.1070699481003,-0.0788625390029551
1982-01-01,56.3172865986507,0.373970377957455
1982-04-01,55.9706010581627,-0.617496061808875
1982-07-01,55.4173855257425,-0.993320910326645
1982-10-01,55.5501594209202,0.239302326825364
1983-01-01,56.0535935997992,0.902187569805335
1983-04-01,56.6437132310392,1.0472744051091
1983-07-01,56.5256859703346,-0.208585190572741
1983-10-01,57.3075910430691,1.37379400942805
1984-01-01,58.0655255406611,1.31390296766218
1984-04-01,57.150873665209,-1.58774462051658
1984-07-01,58.7072563085213,2.68686586801206
1984-10-01,59.20146237866,0.838290789274687
1985-01-01,58.8787724217393,-0.546561853937977
1985-04-01,59.4688837168377,0.99725876289396
1985-07-01,60.2434113042649,1.29399974285045
1985-10-01,60.6048580674737,0.598184554690917
1986-01-01,60.2581683589149,-0.573691838885804
1986-04-01,60.9515498600679,1.14411463858124
1986-07-01,61.4015181108229,0.735527579039008
1986-10-01,62.0137576937724,0.992169893654982
1987-01-01,60.4573333697522,-2.54183760311433
1987-04-01,61.8145968510059,2.22016488892764
1987-07-01,62.2424284777682,0.689736549386311
1987-10-01,63.2382451958131,1.58723665615224
1988-01-01,62.6646915619482,-0.911110759281542
1988-04-01,63.8006971731152,1.79659617326715
1988-07-01,64.523607371816,1.12670448332111
1988-10-01,65.283402913018,1.1706674651462
1989-01-01,65.965707766033,1.03971904417879
1989-04-01,66.2312513883176,0.401739920688371
1989-07-01,66.8361051498182,0.909100387919537
1989-10-01,67.6106056447852,1.15214281978391
1990-01-01,69.0140034176344,2.05445731080278
1990-04-01,69.3533177249213,0.490455383046573
1990-07-01,70.813853496265,2.08406664916234
1990-10-01,72.060475538263,1.74510520871074
1991-01-01,73.6925044984353,2.23953866556457
1991-04-01,73.3024906869304,-0.530650347941286
1991-07-01,73.1424843428266,-0.21852085773828
1991-10-01,74.0825196317386,1.27702229712172
1992-01-01,75.2174845011946,1.52041085281258
1992-04-01,74.6374978532754,-0.774067748403162
1992-07-01,74.5075069080243,-0.174314893582483
1992-10-01,74.2675132534498,-0.322626557179095
1993-01-01,73.7300025982262,-0.726381136218279
1993-04-01,73.710001144314,-0.0271316515561004
1993-07-01,74.1399967148683,0.581666268700332
1993-10-01,74.0900010108784,-0.067456934025234
1994-01-01,75.1175248163773,1.37733005559255
1994-04-01,75.2975141092152,0.239323647465284
1994-07-01,75.8174990389947,0.688200293587204
1994-10-01,76.7374667840728,1.20609498632724
1995-01-01,76.4624851249348,-0.358984387420858
1995-04-01,77.0225046857011,0.729741776898774
1995-07-01,77.1625069322958,0.181602976323525
1995-10-01,77.1925077913656,0.0388725426268444
1996-01-01,76.5599941954544,-0.822773165874935
1996-04-01,77.5999997435711,1.34927525569299
1996-07-01,77.8600001392514,0.334492008611686
1996-10-01,78.4399973615582,0.742162372091837
1997-01-01,78.0324710425934,-0.520893221115326
1997-04-01,79.042502167609,1.28606744368405
1997-07-01,79.2825090401678,0.303182743614183
1997-10-01,79.882520934371,0.753952971426308
1998-01-01,80.6274971064924,0.928267943198602
1998-04-01,80.2875094003413,-0.422568683238911
1998-07-01,80.6674960489214,0.472165936651958
1998-10-01,80.3375024607343,-0.409917770655799
1999-01-01,81.2675158739152,1.15098366351063
1999-04-01,81.2675158739152,0
1999-07-01,82.167494061267,1.10133965126273
1999-10-01,82.8474721171659,0.824145737092508
