"Date","US_IP","US_IP_gr"
1953-04-01,19.39376,1.3837867807351
1953-07-01,19.41154,0.0916369735278977
1953-10-01,18.4965,-4.82862095831766
1954-01-01,17.91016,-3.22133754071694
1954-04-01,17.83909,-0.397603270713676
1954-07-01,17.92794,0.496827289055934
1954-10-01,18.42542,2.7370843158117
1955-01-01,19.42043,5.25943718086417
1955-04-01,20.26439,4.25395537280182
1955-07-01,20.57535,1.52285988864627
1955-10-01,21.06395,2.3469291118948
1956-01-01,21.14391,0.378887229325597
1956-04-01,21.05506,-0.42110094770127
1956-07-01,20.93958,-0.54997633545919
1956-10-01,21.70362,3.58379189753064
1957-01-01,21.90798,0.937188710257519
1957-04-01,21.63251,-1.26536782464601
1957-07-01,21.71254,0.369269805621952
1957-10-01,20.79743,-4.30605524412071
1958-01-01,19.62476,-5.80373870867534
1958-04-01,19.29602,-1.68931772658474
1958-07-01,20.31769,5.15930781172496
1958-10-01,21.23273,4.40519239178769
1959-01-01,22.16558,4.29967761720533
1959-04-01,23.24055,4.7357962560953
1959-07-01,22.28992,-4.17640394586667
1959-10-01,22.39658,0.477371029505669
1960-01-01,23.74695,5.85458325483232
1960-04-01,23.23166,-2.19380976322618
1960-07-01,22.84966,-1.65797659694475
1960-10-01,22.29884,-2.44015784037463
1961-01-01,21.96125,-1.52551224787465
1961-04-01,22.83188,3.88782682421827
1961-07-01,23.56036,3.14078338631596
1961-10-01,24.38655,3.44661120056506
1962-01-01,24.75081,1.4826464943781
1962-04-01,24.99067,0.964433945984888
1962-07-01,25.25719,1.06083124505751
1962-10-01,25.47044,0.840769640558126
1963-01-01,25.9413,1.83177292161476
1963-04-01,26.62537,2.6028227362592
1963-07-01,26.80301,0.664967399631955
1963-10-01,27.25611,1.67635215161854
1964-01-01,27.62923,1.35965541287084
1964-04-01,28.27778,2.32020669519573
1964-07-01,28.73086,1.58954691704105
1964-10-01,29.16616,1.50373267057757
1965-01-01,30.26779,3.70749776718529
1965-04-01,30.96964,2.2923258977289
1965-07-01,31.61813,2.07233204824089
1965-10-01,32.25783,2.00301142230108
1966-01-01,33.18173,2.8238618775779
1966-04-01,33.87469,2.06687046201353
1966-07-01,34.39884,1.5354715014078
1966-10-01,34.72751,0.950932536503979
1967-01-01,34.53616,-0.552527715626727
1967-04-01,34.39544,-0.408289363611791
1967-07-01,34.63202,0.68546901868789
1967-10-01,35.55873,2.6407008082129
1968-01-01,36.06632,1.41737701459137
1968-04-01,36.55254,1.33912117571184
1968-07-01,36.83621,0.773065116234672
1968-10-01,37.39558,1.5071186830685
1969-01-01,38.12304,1.92663081516962
1969-04-01,38.28944,0.435531638375508
1969-07-01,38.74899,1.19305507898071
1969-10-01,38.50613,-0.628724154486493
1970-01-01,37.57322,-2.45258868045442
1970-04-01,37.3665,-0.551698149737545
1970-07-01,37.23275,-0.358583077752472
1970-10-01,36.42784,-2.18554328490663
1971-01-01,37.13018,1.90967985390142
1971-04-01,37.46652,0.901761818389168
1971-07-01,37.58204,0.307854251263384
1971-10-01,38.45313,2.29138203541139
1972-01-01,40.09325,4.17678939067008
1972-04-01,40.85402,1.87972343103913
1972-07-01,41.36975,1.25447121518021
1972-10-01,42.80084,3.4007791134671
1973-01-01,44.0318,2.83543715860155
1973-04-01,44.40141,0.835912554130047
1973-07-01,44.77691,0.842137907936946
1973-10-01,45.44869,1.48913925557421
1974-01-01,45.04283,-0.897018243098957
1974-04-01,45.07201,0.0647618106404124
1974-07-01,44.90722,-0.366284939850159
1974-10-01,43.11551,-4.0715790438524
1975-01-01,40.24561,-6.88818635709922
1975-04-01,39.72447,-1.3033558983786
1975-07-01,40.7054,2.43933911708396
1975-10-01,41.59077,2.15175058690558
1976-01-01,42.85735,2.99988912732223
1976-04-01,43.41345,1.28921420064061
1976-07-01,43.99747,1.3362831336126
1976-10-01,44.79455,1.79543479699737
1977-01-01,45.69971,2.00054719119369
1977-04-01,47.13669,3.09597265189665
1977-07-01,47.65423,1.09197197922404
1977-10-01,47.95934,0.638217013854359
1978-01-01,47.82328,-0.284101837089157
1978-04-01,49.74938,3.94854509895466
1978-07-01,50.182,0.865839544517799
1978-10-01,51.06308,1.74053345242768
1979-01-01,51.31132,0.484965941746385
1979-04-01,51.18992,-0.236875293927241
1979-07-01,51.03819,-0.296846163775077
1979-10-01,51.23057,0.376224815711756
1980-01-01,51.44323,0.414244537751829
1980-04-01,49.25863,-4.33942888661338
1980-07-01,48.44758,-1.66021920048869
1980-10-01,50.32022,3.7924595712806
1981-01-01,50.44594,0.249528344103478
1981-04-01,50.61429,0.333167964737413
1981-07-01,51.09076,0.936971145148213
1981-10-01,49.94003,-2.27807733692846
1982-01-01,48.91952,-2.06463867393354
1982-04-01,48.32059,-1.2318735016061
1982-07-01,47.63421,-1.43065632399075
1982-10-01,46.7417,-1.89145007113742
1983-01-01,47.26886,1.1215027872729
1983-04-01,48.32602,2.21184042207092
1983-07-01,49.97585,3.3569756787001
1983-10-01,51.28661,2.58898157154364
1984-01-01,52.80067,2.90941755641358
1984-04-01,53.61632,1.53296193191501
1984-07-01,53.98187,0.67947501051977
1984-10-01,54.00702,0.0465788665013456
1985-01-01,54.19271,0.343235943939124
1985-04-01,54.23385,0.0758854693430067
1985-07-01,54.1488,-0.156943971119938
1985-10-01,54.45626,0.566199809446566
1986-01-01,54.78546,0.602701964989727
1986-04-01,54.46568,-0.585405174235776
1986-07-01,54.67926,0.391369994097479
1986-10-01,55.30026,1.12931316651146
1987-01-01,56.02937,1.30984073928149
1987-04-01,57.03286,1.77515754178508
1987-07-01,58.10582,1.86382380026249
1987-10-01,59.49075,2.35550073231989
1988-01-01,60.03743,0.91473627710954
1988-04-01,60.55973,0.866194967857137
1988-07-01,60.7795,0.362241033367106
1988-10-01,61.21771,0.71839656766457
1989-01-01,61.50679,0.471104848099202
1989-04-01,61.26995,-0.385806454502013
1989-07-01,60.88927,-0.623254196087242
1989-10-01,61.12539,0.387035942648417
1990-01-01,61.5782,0.738058365679439
1990-04-01,62.00762,0.694936891934095
1990-07-01,62.25894,0.404485877216398
1990-10-01,61.30243,-1.5482656225303
1991-01-01,60.15427,-1.89070541710192
1991-04-01,60.49851,0.570630753958934
1991-07-01,61.36137,1.41617474244278
1991-10-01,61.48898,0.207748770592175
1992-01-01,61.41533,-0.1198493507931
1992-04-01,62.52952,1.79792869776101
1992-07-01,63.02003,0.78138471339928
1992-10-01,63.66204,1.01358542124812
1993-01-01,64.24306,0.908523579617704
1993-04-01,64.3753,0.205631679019014
1993-07-01,64.61671,0.374302690300254
